,facility_code,facility_type,facility_name,open_pending,nice_name,latitude,longitude,type,securityType,addr1,addr2,city,state,zip,pop_total,lat_adj,long_adj
180,YAZ,T,YAZOO CITY FCI,O,Yazoo City FCI,32.87846088847022,-90.41682600975037,,,2225 HALEY BARBOUR PARKWAY,,YAZOO CITY,MS,39194,1483.0,32.87846088847022,-90.41482600975037
181,YAM,T,YAZOO CITY MED FCI,O,Yazoo City Med FCI,32.87846088847022,-90.41682600975037,,,2225 HALEY BARBOUR PARKWAY,,YAZOO CITY,MS,39194,1438.0,32.88019293927779,-90.41782600975037
182,YAP,T,YAZOO CITY USP,O,Yazoo City USP,32.87846088847022,-90.41682600975037,,,2225 HALEY BARBOUR PKWY,,YAZOO CITY,MS,39194,1394.0,32.876728837662654,-90.41782600975037
183,NEO,,NE OHIO CORR CTR CI,,NE Ohio Correctional Center CI,,,,,,,,,,,,
184,CAL,,CALIFORNIA CITY CI,,California City CI,,,,,,,,,,,,
185,EGL,,EGLIN FPC,,Eglin FPC,,,,,,,,,,,,
186,SEY,,SEYMOUR JOHNSN FPC,,Seymour Johnsn FPC,,,,,,,,,,,,
187,ALW,,ALLENWOOD FPC,,Allenwood FPC,,,,,,,,,,,,
188,NEL,,NELLIS FPC,,Nellis FPC,,,,,,,,,,,,
189,NLK,,NORTH LAKE CI,,North Lake CI,,,,,,,,,,,,
190,ELO,,ELOY DC,,Eloy DC,,,,,,,,,,,,
191,BSF,,BIG SPRING CI FL,,Big Spring CI FL,,,,,,,,,,,,
192,WLC,,WILLACY CI,,Willacy CI,,,,,,,,,,,,
193,ELP,,EL PASO FPC,,El Paso FPC,,,,,,,,,,,,
194,PPR,,PINE PRAIRIE CI,,Pine Prairie CI,,,,,,,,,,,,
195,CSF,,SAN FRANCISCO CCM,,San Francisco CCM,,,,,,,,,,,,
196,MXR,,MID-ATLANTIC RO,,Mid-Atlantic RO,39.12027227440838,-76.77684903144836,RO,N/A,302 SENTINEL DRIVE,,ANNAPOLIS JUNCT,MD,20701,,39.12027227440838,-76.77884903144836
197,NCR,,NORTH CENTRAL RO,,North Central RO,39.11654316704711,-94.61905896663666,RO,N/A,"400 STATE AVENUE, SUITE 800",,KANSAS CITY,KS,66101,,39.11654316704711,-94.61905896663666
198,NER,,NORTHEAST RO,,Northeast RO,39.94845387536164,-75.14467120170593,RO,N/A,"U.S. CUSTOM HOUSE, 7TH FLOOR",,PHILADELPHIA,PA,19106,,39.94845387536164,-75.14467120170593
199,SCR,,SOUTH CENTRAL RO,,South Central RO,32.741985,-96.958036,RO,N/A,US ARMED FORCES RESERVE CMPL,,GRAND PRAIRIE,TX,75051,,32.741985,-96.958036
200,SER,,SOUTHEAST RO,,Southeast RO,33.65056526729136,-84.47198867797852,RO,N/A,3800 CAMP CRK PK SW/BDG 2000,,ATLANTA,GA,30331,,33.65056526729136,-84.47198867797852
201,WXR,,WESTERN RO,,Western RO,38.01678123430942,-121.35812938213348,RO,N/A,7338 SHORELINE DRIVE,,STOCKTON,CA,95219,,38.01678123430942,-121.35812938213348
202,BOP,,CENTRAL OFFICE HQ,,Central Office HQ,38.89382399228095,-77.01224640011787,CO,N/A,"320 FIRST STREET, NW",,WASHINGTON,DC,20534,,38.89382399228095,-77.01224640011787
